2020-04-15 01:34:31.378  WARN [clientui,,,] 12188 --- [main] ockingLoadBalancerClientRibbonWarnLogger : You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-04-15 01:34:34.222  INFO [clientui,,,] 12188 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2020-04-15 01:34:34.783  INFO [clientui,,,] 12188 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2020-04-15 01:34:35.551  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2020-04-15 01:34:37.042  INFO [clientui,,,] 12188 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-04-15 01:34:37.087  INFO [clientui,,,] 12188 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-04-15 01:34:38.159  INFO [clientui,,,] 12188 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-04-15 01:34:38.165  INFO [clientui,,,] 12188 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-04-15 01:34:39.506  INFO [clientui,,,] 12188 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-04-15 01:34:40.267  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2020-04-15 01:34:40.270  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2020-04-15 01:34:40.271  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2020-04-15 01:34:40.273  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2020-04-15 01:34:40.275  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2020-04-15 01:34:40.277  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2020-04-15 01:34:40.279  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2020-04-15 01:34:41.138  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-04-15 01:34:41.161  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2020-04-15 01:34:41.168  INFO [clientui,,,] 12188 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-04-15 01:34:41.177  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1586907281175 with initial instances count: 3
2020-04-15 01:34:41.234  INFO [clientui,,,] 12188 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application CLIENTUI with eureka with status UP
2020-04-15 01:34:41.236  INFO [clientui,,,] 12188 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1586907281236, current=UP, previous=STARTING]
