2020-04-15 01:29:52.594  INFO [zuul-server,,,] 13356 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-04-15 01:29:52.602  INFO [zuul-server,,,] 13356 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2020-04-15 01:29:52.608  INFO [zuul-server,,,] 13356 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-04-15 01:29:52.616  INFO [zuul-server,,,] 13356 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1586906992615 with initial instances count: 5
2020-04-15 01:29:52.640  INFO [zuul-server,,,] 13356 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application ZUUL-SERVER with eureka with status UP
2020-04-15 01:29:52.642  INFO [zuul-server,,,] 13356 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1586906992642, current=UP, previous=STARTING]
2020-04-15 01:29:52.648  INFO [zuul-server,,,] 13356 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/LAPTOP-R62TREJ2.home:zuul-server:9004: registering service...
2020-04-15 01:29:53.162  INFO [zuul-server,,,] 13356 --- [main] c.U.z.ZuulServerApplicationTests         : Started ZuulServerApplicationTests in 20.609 seconds (JVM running for 23.245)
2020-04-15 01:29:53.174  INFO [zuul-server,,,] 13356 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/LAPTOP-R62TREJ2.home:zuul-server:9004 - registration status: 204
2020-04-15 01:29:53.864  INFO [zuul-server,,,] 13356 --- [SpringContextShutdownHook] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application ZUUL-SERVER with eureka with status DOWN
2020-04-15 01:29:53.883  WARN [zuul-server,,,] 13356 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1586906993883, current=DOWN, previous=UP]
2020-04-15 01:29:53.892  INFO [zuul-server,,,] 13356 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/LAPTOP-R62TREJ2.home:zuul-server:9004: registering service...
2020-04-15 01:29:53.898  INFO [zuul-server,,,] 13356 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/LAPTOP-R62TREJ2.home:zuul-server:9004 - registration status: 204
2020-04-15 01:29:53.909  INFO [zuul-server,,,] 13356 --- [SpringContextShutdownHook] o.s.c.n.zuul.ZuulFilterInitializer       : Stopping filter initializer
2020-04-15 01:29:53.928  INFO [zuul-server,,,] 13356 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-15 01:29:53.970  INFO [zuul-server,,,] 13356 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2020-04-15 01:29:56.980  INFO [zuul-server,,,] 13356 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Unregistering ...
2020-04-15 01:29:57.005  INFO [zuul-server,,,] 13356 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/LAPTOP-R62TREJ2.home:zuul-server:9004 - deregister  status: 200
2020-04-15 01:29:57.028  INFO [zuul-server,,,] 13356 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
2020-04-15 01:31:03.704  INFO [zuul-server,,,] 13268 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:9101
